customer_id,first_name,last_name,age,gender,marital_status,number_of_dependents,education_level,province,employment_status,monthly_income,income_band,monthly_expenses,account_tenure_years,monthly_transactions,avg_transaction_value,digital_login_frequency,branch_visit_count,late_payment_count,preferred_channel,has_savings_account,has_credit_card,has_home_loan,has_personal_loan,has_vehicle_finance,has_investment_account,active_products_count,credit_score,loan_utilisation_rate,days_since_last_default,churn_risk_label
CUST-00001,Mihlali,Mthembu,33,Female,Single,1,Degree,Eastern Cape,Employed,23300.0,LSM 7-8,11800.0,0.6,19,398.63,4,2,3,Passive,1,1,1,1,1,1,6,588,0.457,9999,Low
CUST-00002,Thabo,Nxumalo,25,Male,Single,0,Degree,Gauteng,Employed,31400.0,LSM 7-8,14900.0,0.5,26,471.37,17,4,0,Digital-Preferred,1,1,0,1,1,0,4,603,0.277,9999,Low
CUST-00003,Sipho,Daniels,36,Male,Married,0,No Matric,Gauteng,Self-Employed,3700.0,LSM 1-4,1600.0,3.4,13,50.0,6,2,0,Passive,1,0,0,0,0,0,1,611,0.0,9999,High
CUST-00004,Jade,Pillay,37,Female,Single,0,Postgraduate,KwaZulu-Natal,Employed,55700.0,Affluent,37400.0,5.1,57,255.98,6,7,0,Branch-Preferred,1,1,1,1,0,0,4,676,0.377,1480,Low
CUST-00005,Mihlali,Daniels,35,Female,Married,3,Matric,Eastern Cape,Unemployed,2054.9,LSM 1-4,2200.0,8.3,12,174.22,18,2,7,Digital-Preferred,0,0,0,0,0,0,0,379,0.0,108,High
CUST-00006,Bongani,van der Berg,61,Male,Married,0,No Matric,KwaZulu-Natal,Retired,3713.98,LSM 1-4,2200.0,5.3,13,548.31,17,12,2,Digital-Preferred,1,0,0,1,0,0,2,591,0.491,9999,Medium
CUST-00007,Jade,Ndlovu,32,Female,Single,0,Postgraduate,Mpumalanga,Employed,32700.0,LSM 7-8,18900.0,8.9,23,636.53,12,5,0,Digital-Preferred,1,1,1,1,1,0,5,737,0.319,1518,Low
CUST-00008,Ruan,Sithole,38,Male,Single,0,Degree,Limpopo,Employed,40700.0,Affluent,21200.0,9.1,51,593.95,19,4,0,Digital-Preferred,1,1,0,1,1,0,4,726,0.247,9999,Low
CUST-00009,Bongiwe,Mkhize,31,Female,Married,1,Postgraduate,Western Cape,Employed,57100.0,Affluent,30800.0,6.9,57,750.01,17,4,1,Digital-Preferred,1,1,1,0,1,1,5,697,0.29,9999,Low
CUST-00010,Mihlali,du Plessis,26,Female,Married,6,Degree,KwaZulu-Natal,Employed,42300.0,Affluent,22000.0,8.0,48,602.68,3,3,1,Passive,1,1,0,1,1,0,4,644,0.328,9999,Low
CUST-00011,Kagiso,Buthelezi,37,Male,Married,1,Diploma,Eastern Cape,Employed,10100.0,LSM 5-6,5600.0,7.0,5,1519.29,17,3,0,Digital-Preferred,1,0,0,1,0,0,2,652,0.249,9999,Low
CUST-00012,Ashleigh,Jacobs,36,Female,Married,5,Matric,Limpopo,Unemployed,2100.04,LSM 1-4,2200.0,4.2,14,348.18,14,2,3,Digital-Preferred,1,0,0,0,0,0,1,536,0.0,977,High
CUST-00013,Aaliya,Motsepe,56,Female,Married,0,Matric,Gauteng,Unemployed,1427.36,LSM 1-4,800.0,0.5,3,627.6,16,4,1,Digital-Preferred,1,0,0,0,0,0,1,607,0.0,9999,High
CUST-00014,Tebogo,Ngubane,49,Male,Single,0,Postgraduate,Mpumalanga,Employed,57600.0,Affluent,37300.0,10.4,55,448.77,18,2,3,Digital-Preferred,1,0,1,0,0,1,3,636,0.425,1852,Low
